Date,AQI,Temp,Humidity,Is_Festival,Patients,Beds_%
1996-01-01,108,23.4,78.0,0,883,73.6
1996-01-02,110,23.3,78.8,0,916,76.3
1996-01-03,110,24.0,74.6,0,838,69.8
1996-01-04,128,24.3,77.9,0,883,73.6
1996-01-05,109,24.1,80.5,0,898,74.9
1996-01-06,127,23.5,76.2,0,937,78.1
1996-01-07,143,23.6,71.0,0,853,71.1
1996-01-08,93,23.0,79.0,0,861,71.8
1996-01-09,130,23.1,77.9,0,946,78.9
1996-01-10,124,23.5,73.9,0,897,74.7
1996-01-11,143,24.1,65.0,0,849,70.8
1996-01-12,113,23.8,67.2,0,920,76.7
1996-01-13,153,23.6,67.7,0,895,74.6
1996-01-14,140,22.5,79.8,0,866,72.2
1996-01-15,152,23.4,74.6,0,866,72.2
1996-01-16,149,22.7,73.8,0,853,71.1
1996-01-17,32,22.4,61.7,0,887,73.9
1996-01-18,96,22.0,59.3,0,941,78.5
1996-01-19,152,22.0,62.6,0,867,72.3
1996-01-20,154,23.3,52.8,0,876,73.0
1996-01-21,130,23.7,51.0,0,855,71.2
1996-01-22,138,24.2,54.7,0,944,78.7
1996-01-23,153,25.2,52.9,0,928,77.4
1996-01-24,153,26.4,52.9,0,934,77.8
1996-01-25,114,25.3,60.8,0,892,74.4
1996-01-26,120,25.0,58.5,1,1033,86.1
1996-01-27,129,25.0,58.6,0,1004,83.7
1996-01-28,109,25.7,58.4,0,834,69.5
1996-01-29,155,26.3,57.6,0,974,81.1
1996-01-30,153,26.4,57.6,0,954,79.5
1996-01-31,160,25.4,58.0,0,921,76.8
1996-02-01,91,24.1,56.0,0,907,75.5
1996-02-02,157,24.1,54.1,0,875,72.9
1996-02-03,146,24.9,59.5,0,937,78.1
1996-02-04,134,25.6,61.0,0,907,75.6
1996-02-05,155,26.4,59.1,0,1013,84.4
1996-02-06,155,27.2,53.2,0,909,75.7
1996-02-07,127,27.6,49.9,0,902,75.2
1996-02-08,158,25.8,56.8,0,912,76.0
1996-02-09,147,23.1,74.5,0,961,80.1
1996-02-10,124,22.9,64.0,0,924,77.0
1996-02-11,85,23.9,41.2,0,849,70.7
1996-02-12,131,24.2,55.9,0,952,79.3
1996-02-13,161,24.6,59.4,0,937,78.1
1996-02-14,154,24.8,56.9,0,944,78.7
1996-02-15,160,24.7,59.3,0,971,81.0
1996-02-16,154,25.9,52.0,0,904,75.3
1996-02-17,159,28.1,53.6,0,955,79.6
1996-02-18,162,28.2,58.7,0,893,74.4
1996-02-19,168,27.9,53.8,1,1026,85.5
1996-02-20,165,26.0,62.4,0,948,79.0
1996-02-21,139,24.2,73.2,0,904,75.3
1996-02-22,152,24.2,79.6,0,996,83.0
1996-02-23,159,23.8,77.0,0,970,80.9
1996-02-24,76,23.6,75.2,0,972,81.0
1996-02-25,157,23.5,79.4,0,879,73.3
1996-02-26,138,23.7,61.1,0,948,79.0
1996-02-27,167,23.3,54.8,0,911,75.9
1996-02-28,146,24.9,59.0,0,998,83.2
1996-02-29,146,25.8,61.7,0,937,78.1
1996-03-01,155,25.6,67.7,0,906,75.5
1996-03-02,156,26.1,67.4,0,908,75.6
1996-03-03,161,26.6,53.5,0,904,75.3
1996-03-04,172,26.9,48.9,0,962,80.2
1996-03-05,165,26.7,61.0,0,906,75.5
1996-03-06,153,25.5,64.1,0,965,80.4
1996-03-07,168,26.2,62.9,0,893,74.4
1996-03-08,162,27.2,56.6,0,976,81.3
